listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail,is_speculative
2011,2.20765,0.439448,59712919,0.686498,0.456669,0.008373,-4.348137,-0.256673,-8532016,-927.786405,-0.219438,-0.236123,-0.319649,-0.975023,-36.505112,-0.362236,-1201.063105,0.089079,1011654,0.082058,2.691682,1,0,6.043,1.0,-0.303016,-0.29797,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2011,3.753762,1.231286,99113905,0.768107,0.301902,0.000101,-6.613008,-0.025307,4934193,17.014125,-0.016961,0.005371,-0.022081,-0.335678,-772.134608,-0.106541,-246.561919,0.059352,1126499,0.051037,3.150685,1,0,6.229,1.0,0.65984,0.231366,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2011,2.829814,0.808979,105559788,0.716274,0.396113,0.0,-6.548163,0.010276,5272160,982.627706,0.010386,0.00215,0.0145,-0.147754,,-0.047341,-19156.852814,0.051021,1253133,0.07843,3.121037,1,0,6.168,,0.065035,0.035583,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2011,3.00293,0.564175,106789669,0.735203,0.360169,0.028415,-6.837904,0.035854,11156694,135.66621,0.054098,0.047301,0.073582,-0.175477,-1.635279,-0.038744,-133.270916,0.089466,2092455,0.092043,4.529143,1,0,6.092,1.0,0.011651,0.025578,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2011,3.524604,1.460913,92894961,0.751188,0.331225,0.056454,-5.966334,-0.006117,9974236,4.460053,0.000442,0.016785,0.000588,0.807886,3.560655,0.179486,53.412832,-0.207862,2387216,0.013721,4.501108,1,0,6.282,1.0,-0.130113,-0.041971,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2011,3.201944,0.46985,92845267,0.74138,0.348836,0.066887,-5.8717,-0.007575,5068164,-6.528034,-0.00581,-0.026811,-0.007836,-0.696577,-2.693326,-0.219046,-43.863746,0.173918,2571358,0.013842,3.180048,1,0,6.246,1.0,-0.000535,-0.001459,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2011,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.246,,,,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1997,1.122435,0.225848,204043363,0.376417,1.656627,0.458638,-2.688781,0.071393,29432961,1.327888,-0.095244,0.040261,-0.253028,0.532131,0.723506,0.18472,10.944429,-0.203579,5983452,0.006782,2.880746,0,0,5.913,0.985325,-0.298714,0.307702,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1997,1.25917,0.041043,161516565,0.475699,1.10217,0.327674,-2.690118,0.011697,27491322,6.667136,0.036198,0.086543,0.076094,0.384834,0.615761,0.122272,15.543928,-0.182467,3525137,0.004965,3.147361,1,0,6.043,0.978027,-0.20842,-0.059696,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1997,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.229,,-1.0,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1997,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.168,,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1997,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.092,,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1997,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.282,,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1997,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,6.246,,,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1993,0.728083,0.085904,296022828,0.134808,6.417965,0.587746,-9.476201,-0.023552,25554067,1.13412,-0.01793,0.029837,-0.133007,0.113017,0.166367,0.096506,3.716764,-0.121645,14058146,0.009173,1.171092,1,0,6.282,0.718971,-0.014793,-0.011727,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1993,0.871913,0.086459,330137102,0.163807,5.104753,0.515923,-10.949625,0.005266,30735164,1.920667,0.009481,0.0442,0.05788,0.091769,0.148737,0.071157,3.334548,-0.071058,11773924,0.0072,1.289674,1,0,6.246,0.625231,0.115242,0.028818,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1994,0.759336,0.029866,158048607,0.470723,1.124389,0.191093,-2.168395,-0.257301,12293901,0.205809,-0.16624,0.00535,-0.35316,-0.023844,-0.066041,-0.018817,-0.485449,-0.159945,6957550,0.004439,1.267148,0,0,5.726,1.0,,,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1994,1.212497,0.356748,127077797,0.475353,1.103701,0.178986,-1.572577,-0.108072,14090121,-0.463099,-0.118677,-0.012115,-0.24966,0.161973,0.47478,0.092717,3.248415,-0.184031,6996410,0.005348,1.746967,0,0,6.043,0.824138,-0.166538,-0.095791,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
1994,2.067686,0.564467,155766104,0.619016,0.615466,0.150259,-2.227959,0.094575,30090942,8.581046,0.084581,0.096395,0.136637,0.140058,0.355118,0.059512,4.750064,0.031438,4335245,0.004563,2.353424,0,0,6.229,0.572745,0.225754,0.202647,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1994,2.45574,1.178501,317029292,0.602687,0.659235,0.266274,-4.182135,0.127323,32942241,10.682216,0.041151,0.048874,0.068279,-0.065659,-0.097971,-0.049479,-5.701755,0.093217,4708348,0.001641,1.327009,0,0,6.168,0.538005,1.035291,0.032748,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1994,2.017053,0.71085,289699254,0.619264,0.614821,0.214504,-3.865644,-0.075832,11517043,-3.683211,-0.044883,-0.033244,-0.072478,-0.030196,-0.053596,-0.021586,-1.273745,-0.028892,6993767,0.00373,1.398889,0,0,6.092,0.567807,-0.086207,-0.203156,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1994,1.958553,0.548464,268889003,0.5673,0.762736,0.28073,-3.137167,-0.201333,1449580,-11.127822,-0.084034,-0.084275,-0.148129,-0.105779,-0.163041,-0.090435,-6.043655,-0.056127,8346821,0.008078,1.169664,0,0,6.282,0.456848,-0.071834,-0.1255,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
1994,1.937202,0.674284,235873846,0.438148,1.282332,0.406172,-1.802968,-0.313609,3361591,-11.492907,-0.198468,-0.11648,-0.45297,-0.073716,-0.10197,-0.06238,-4.086613,-0.166806,8993571,0.000862,1.181733,0,0,6.246,0.420701,-0.122784,-0.112277,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1
2009,2.439354,0.257387,79126537,0.580391,0.722977,0.287378,-13.907228,0.022863,7753348,3.077244,0.028442,0.039343,0.049005,0.14238,0.207893,0.06472,4.672894,-0.038639,4058936,0.008123,2.199927,1,0,5.726,0.388722,-0.058519,-0.018432,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2009,1.824359,0.280049,73403371,0.637965,0.567485,0.193326,-14.200814,0.021917,7257353,3.879561,0.023081,0.036071,0.036179,0.235291,0.440622,0.097174,9.16172,-0.065971,4083318,0.006119,2.42134,1,0,5.913,0.767455,-0.072329,-0.000946,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2009,1.616283,0.137949,69485368,0.715614,0.397401,0.143915,-15.140858,0.057684,9664470,12.340637,0.064237,0.074171,0.089765,0.349415,0.690468,0.110066,16.533154,-0.047292,3910963,0.004664,3.174593,1,0,6.043,0.65,-0.053376,0.035766,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2009,1.784028,0.109265,78035451,0.708085,0.412259,0.070481,-16.936254,0.075881,14838543,39.931827,0.113211,0.113079,0.159883,0.129198,0.535108,0.032121,13.318303,0.051381,3197031,0.003355,4.02224,1,0,6.229,0.818182,0.123049,0.018197,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2009,2.171842,0.478533,88337240,0.697989,0.432687,0.079242,-9.007298,0.070473,17929192,51.27726,0.123187,0.126106,0.176489,0.429089,1.635367,0.097003,52.693782,-0.035442,2830786,0.001868,4.423455,1,0,6.168,0.642857,0.132014,-0.005408,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
