market,stock_code,corp_name,fiscal_year,eval_year,firm_size_group,industry_macro_category,listed_year,current_ratio,cash_ratio,assets_total,equity_ratio,debt_ratio,total_borrowings_ratio,capital_impairment_ratio,net_margin,gross_profit,interest_coverage_ratio,pretax_roa,operating_roa,pretax_roe,ocf_to_total_liabilities,ocf_to_total_borrowings,ocf_to_sales,cashflow_coverage_ratio,accruals_ratio,depreciation,intangible_assets_ratio,total_debt_turnover,dividend_payer,market_to_book,spec_spread,short_term_borrowings_share,total_assets_growth,net_margin_diff,is_2y_consecutive_ocf_deficit,icr_under_1,is_2y_consecutive_operating_loss,market_KOSDAQ,market_KOSPI,firm_size_group_large,firm_size_group_mid_sized,firm_size_group_other,firm_size_group_small_and_medium,industry_macro_category_construction,industry_macro_category_it_services,industry_macro_category_manufacturing,industry_macro_category_other,industry_macro_category_transport_storage,industry_macro_category_wholesale_retail
KOSPI,130660,한전산업개발(주),2025,2026,other,it_services,2010,1.7395012988649412,0.34104653746106983,204525535,0.503901212139599,0.9845159644564684,0.037053930698677795,-5.32274018404908,0.0102904248374334,31056465,3.7516731343888243,0.01981016209051843,0.032147531113902235,0.03931358292710415,-0.07904243113897451,-1.0582643605738622,-0.020327126518314715,-4.576208710854875,0.059064008804572986,5119841,0.00540653762377397,3.888519662026867,1,0,5.803,0.0,-0.0702578348182,-0.021344599287291252,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KOSPI,133820,(주)화인베스틸,2025,2026,other,manufacturing,2014,0.581408816481667,0.07346755047695894,171617474,0.3016313828276018,2.315304875768315,0.47308105117547644,-1.6101533305523412,-0.032800294640690404,6091897,-0.24609472885440617,-0.020042685163866238,-0.00973390390304894,-0.06644761223443943,-0.030069913493577346,-0.04438961078151313,-0.01935824507901903,-0.5309237428199389,-0.014581976658157782,7818410,0.014132453668441711,1.5533388161392738,0,0,5.803,0.9430200960167313,0.12629964928526172,0.21471786057734554,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,134380,미원화학(주),2025,2026,other,manufacturing,2011,,,0,,,,,,0,1000000.0,,,,,,,1000000.0,,0,,,0,0,5.803,,,,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,134790,(주)시디즈,2025,2026,other,manufacturing,2011,1.8189691635696,0.1678178336042363,97876439,0.6406774463872761,0.560847826997676,0.0,-61.707227,-0.01155306145843533,53198599,-12.667369255060438,-0.03021149962352022,-0.06827957849999018,-0.04715555353771265,0.2178647050721523,,0.03914848152963878,14.523355061763965,-0.10138591167992943,9135494,0.006295110511734085,5.565086985741961,1,0,5.803,,-0.007371135823637144,-0.015910926621135857,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,136490,(주)선진,2025,2026,other,manufacturing,2011,1.0050831098096877,0.2068600156934129,1361716299,0.4274508379076103,1.339450321106029,0.3724003144945833,-47.9551275117954,0.0664829611107809,393414159,6.0785138779033785,0.1110726926828097,0.131592375835989,0.2598490465629104,0.16540202706414522,0.25429836742346945,0.06802382059404471,4.374418159012186,-0.0021451399253612077,50552920,0.003695154419239275,2.4315309787028587,1,0,5.803,0.9720233170983463,0.06033703533283918,0.062532523186947,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,137310,에스디바이오센서(주),2025,2026,other,manufacturing,2021,2.6440977890883004,0.7866572212895137,3242719829,0.7206500065473279,0.3876361496191969,0.10744599144337609,-36.5465987869231,-0.7224915054525993,325528012,-0.7479259250341038,-0.28313854863099247,-0.02496212570574194,-0.3928932853099164,0.39467314174564716,1.0261149643949743,0.5031322805537287,3.3034159409035513,-0.26857231180177915,49418476,0.14567561920564553,0.784432160288512,1,0,5.803,0.004512133120666096,-0.1660667497395954,-0.581196687383628,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,138490,코오롱이앤피(주),2025,2026,other,manufacturing,2011,3.375028594071394,0.465027070035242,439025206,0.8159578268041403,0.22555353337184553,0.0015358753683951348,-8.427001394736843,0.08872829956428349,95859970,147.1901296740949,0.11800881428206653,0.10039299201422161,0.14462611964183408,0.4987562864521152,59.765389566476046,0.08598275453595625,134.5801538189238,0.0029310481093424963,12069970,0.007920091950255812,5.800654900437569,1,0,5.803,1.0,0.06522931080708931,0.007494469674141538,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,139480,(주)이마트,2025,2026,other,wholesale_retail,2011,0.6185110490204283,0.12941211746728987,33503615741,0.4088188214336051,1.4460713342970541,0.19710438255530494,-97.27089708826134,0.008503127944132962,9092978212,0.6226964042666152,0.01123391847941383,0.00962705555404549,0.027478965963503944,0.06659053108978631,0.1997270083122769,0.04552714754737952,2.5463374506491627,-0.032014461701439796,1335253000,0.039662328337112716,1.462655463325182,1,0,5.803,0.16845776256674322,-0.012585189499447376,0.028262344061626886,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
KOSPI,139990,아주스틸(주),2025,2026,other,manufacturing,2021,0.6026672194151366,0.06510240220842252,1005925873,0.14356840387184275,5.965320871663771,0.39692631109012144,-6.452851464830179,-0.03790608915977065,25955613,-0.8550564212195759,-0.04108924137395162,-0.025415284253256305,-0.28619975054281577,-0.022619261089183332,-0.048804650476925567,-0.017950063406642965,-0.6517347775417476,-0.0215367002494825,36947042,0.0032510735510229787,1.2601215147135576,0,0,5.803,0.5613452447668562,0.04632854499321749,0.08416841442980913,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
KOSPI,143210,핸즈코퍼레이션(주),2025,2026,other,manufacturing,2016,0.42662839101431094,0.032179579664963064,771746516,0.1210363481576119,7.261980927397227,0.5836085886521838,-7.539994152428525,-0.11310379180329437,31522036,-1.495113452581481,-0.11452151732162792,-0.05019358454739043,-0.9461745918878811,0.061231806126563,0.09222025338284497,0.052928655531605716,1.6031491280636303,-0.1688301836143307,43692221,0.0006333906144903154,1.1568743908486236,0,0,5.803,0.9557663341210776,-0.12804861552402952,0.046657213866096794,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0
